epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,11927.2,1.21298,1.08189,1.38118,0.75661,0.83353,0.8499,0.46034,1.52334,1.07407,1.57703,0.0003095,0.0003095,0.0003095
116,12030.4,1.20994,1.07613,1.3701,0.76672,0.81233,0.8645,0.48509,1.52556,0.97632,1.56875,0.00030125,0.00030125,0.00030125
117,12134,1.15245,1.0445,1.35042,0.76528,0.82763,0.86245,0.4802,1.49738,1.01613,1.57335,0.000293,0.000293,0.000293
118,12237.3,1.20052,1.06789,1.36554,0.77709,0.78844,0.83233,0.45162,1.52754,1.03315,1.58192,0.00028475,0.00028475,0.00028475
119,12340.9,1.22007,1.06583,1.38332,0.77375,0.82667,0.85944,0.47811,1.50459,1.04154,1.55288,0.0002765,0.0002765,0.0002765
120,12444.1,1.20128,1.07576,1.37906,0.71247,0.80743,0.84952,0.45008,1.55405,1.07318,1.57613,0.00026825,0.00026825,0.00026825
121,12547.5,1.20033,1.08322,1.3649,0.79005,0.78144,0.83546,0.47833,1.49291,1.03636,1.5412,0.00026,0.00026,0.00026
122,12651.2,1.18222,1.05509,1.35372,0.83745,0.74609,0.86341,0.50499,1.45551,0.98549,1.55313,0.00025175,0.00025175,0.00025175
123,12755,1.17819,1.03843,1.35262,0.78728,0.80664,0.85005,0.49334,1.48185,0.98063,1.54365,0.0002435,0.0002435,0.0002435
124,12858.3,1.18203,1.03988,1.35887,0.71722,0.8329,0.85814,0.48648,1.48526,0.98859,1.51972,0.00023525,0.00023525,0.00023525
125,12961.9,1.17346,1.02847,1.36086,0.71937,0.76016,0.82518,0.42748,1.60129,1.15836,1.60799,0.000227,0.000227,0.000227
126,13065,1.15491,0.99685,1.34181,0.74424,0.77705,0.84186,0.45591,1.54263,1.07701,1.58152,0.00021875,0.00021875,0.00021875
127,13168.7,1.15645,1.03988,1.35511,0.67623,0.85222,0.85875,0.47788,1.51432,1.04438,1.55001,0.0002105,0.0002105,0.0002105
128,13272.2,1.18081,1.03514,1.3693,0.78124,0.81475,0.87008,0.49592,1.48919,0.98996,1.55406,0.00020225,0.00020225,0.00020225
129,13375.5,1.18445,1.01048,1.3664,0.72317,0.7649,0.81988,0.43519,1.56629,1.07592,1.59204,0.000194,0.000194,0.000194
130,13478.9,1.17718,1.00435,1.33927,0.8199,0.76949,0.86883,0.4979,1.48075,0.9927,1.55097,0.00018575,0.00018575,0.00018575
131,13582.4,1.1744,1.02079,1.34368,0.80278,0.74407,0.85152,0.46034,1.57071,1.01947,1.61239,0.0001775,0.0001775,0.0001775
132,13685.5,1.16421,1.0043,1.35194,0.79321,0.79793,0.87877,0.5022,1.4803,0.97632,1.56109,0.00016925,0.00016925,0.00016925
133,13789.7,1.15883,1.00023,1.3341,0.86519,0.75609,0.87924,0.50233,1.47927,1.01041,1.54346,0.000161,0.000161,0.000161
134,13893,1.13604,0.98372,1.31636,0.82242,0.78585,0.88644,0.49743,1.49665,0.94788,1.56656,0.00015275,0.00015275,0.00015275
135,13996.7,1.15569,0.98085,1.34188,0.76284,0.80524,0.85864,0.48503,1.51285,0.99352,1.58102,0.0001445,0.0001445,0.0001445
136,14100.1,1.1421,0.99583,1.34027,0.81389,0.75913,0.8646,0.50871,1.48008,0.97507,1.52859,0.00013625,0.00013625,0.00013625
137,14204.2,1.1367,0.98397,1.32371,0.81436,0.77089,0.85721,0.50256,1.48665,0.99127,1.54667,0.000128,0.000128,0.000128
138,14307.7,1.12445,0.95524,1.32124,0.74622,0.81473,0.8537,0.48605,1.51971,1.00064,1.55401,0.00011975,0.00011975,0.00011975
139,14411.9,1.15528,0.96524,1.32448,0.81775,0.79385,0.87305,0.50648,1.48586,0.94241,1.54874,0.0001115,0.0001115,0.0001115
140,14515.2,1.13214,0.97975,1.33537,0.75038,0.76413,0.86109,0.49458,1.51005,1.01115,1.56158,0.00010325,0.00010325,0.00010325
141,14620.8,1.19,0.92695,1.35249,0.77468,0.78385,0.85245,0.47463,1.55847,1.00771,1.59263,9.5e-05,9.5e-05,9.5e-05
142,14724.1,1.15092,0.86324,1.32003,0.80156,0.76586,0.86393,0.48826,1.52409,0.99118,1.58757,8.675e-05,8.675e-05,8.675e-05
143,14827.5,1.11721,0.8234,1.31904,0.80309,0.80704,0.87799,0.4944,1.51836,0.96957,1.57159,7.85e-05,7.85e-05,7.85e-05
144,14931,1.10201,0.81105,1.29111,0.80316,0.82217,0.89211,0.51574,1.50605,0.93243,1.55754,7.025e-05,7.025e-05,7.025e-05
145,15035,1.12109,0.80078,1.31951,0.83052,0.81198,0.89903,0.51272,1.50212,0.94011,1.55827,6.2e-05,6.2e-05,6.2e-05
146,15138.4,1.11083,0.79221,1.30926,0.82509,0.75931,0.87612,0.4935,1.53201,0.96236,1.581,5.375e-05,5.375e-05,5.375e-05
147,15241.4,1.06209,0.78474,1.28615,0.80467,0.82751,0.89078,0.50677,1.52918,0.95458,1.58735,4.55e-05,4.55e-05,4.55e-05
1,110.769,2.23043,4.30923,2.10578,0.61465,0.13333,0.14172,0.04433,3.30435,8.04855,9.10103,0.000410714,0.000410714,0.000410714
1,105.074,2.22266,4.26783,2.05391,0.39021,0.17657,0.07521,0.01858,2.98748,7.59475,4.20333,0.000410714,0.000410714,0.000410714
2,216.011,2.29969,2.64384,2.08141,0.26037,0.13658,0.00456,0.00127,4.01302,78.5434,5.96351,0.0008227,0.0008227,0.0008227
1,116.56,2.28268,4.39395,2.20859,0.26306,0.27619,0.01886,0.0064,3.07461,117.652,11.5117,0.000410714,0.000410714,0.000410714
2,221.44,2.45794,2.78243,2.32342,0.75111,0.01961,0.0003,8e-05,nan,nan,nan,0.0008227,0.0008227,0.0008227
3,323.838,2.43998,2.64083,2.29735,0.05311,0.02186,0.00905,0.00244,4.15755,5.69944,6.35405,0.00122997,0.00122997,0.00122997
4,425.693,2.33208,2.47026,2.27471,0.29654,0.27132,0.06149,0.01647,nan,nan,nan,0.00122879,0.00122879,0.00122879
5,529.285,2.32176,2.44688,2.25735,0.30684,0.15161,0.05496,0.01048,nan,nan,nan,0.00122171,0.00122171,0.00122171
6,631.427,2.27765,2.3756,2.20756,0.03516,0.41034,0.08489,0.024,2.71771,6.72491,2.85074,0.00121464,0.00121464,0.00121464
7,734.633,2.22719,2.34901,2.15846,0.77753,0.04167,0.02267,0.00411,3.72094,43.3877,3.7476,0.00120757,0.00120757,0.00120757
8,836.663,2.14791,2.18657,2.07763,0.12756,0.29552,0.10082,0.02889,2.44759,4.79746,2.65269,0.0012005,0.0012005,0.0012005
9,939.873,2.10216,2.15698,2.02408,0.11323,0.43292,0.12698,0.03212,2.70665,3.26625,2.59986,0.00119343,0.00119343,0.00119343
10,1042.51,2.08367,2.13293,2.00392,0.07364,0.43904,0.09865,0.02688,2.68613,3.13606,2.54009,0.00118636,0.00118636,0.00118636
11,1144.76,2.08604,2.10695,2.02853,0.21123,0.54242,0.22377,0.06136,2.5595,2.61018,2.56147,0.00117929,0.00117929,0.00117929
12,1248.48,2.04051,2.10314,1.99454,0.41844,0.14057,0.11242,0.0283,2.60717,3.58619,2.52485,0.00117221,0.00117221,0.00117221
13,1351,1.97716,2.07251,1.93889,0.16861,0.53347,0.22026,0.06381,2.52574,2.81158,2.52614,0.00116514,0.00116514,0.00116514
14,1454.24,2.00297,2.00585,1.91455,0.57755,0.13209,0.12498,0.03456,2.52039,4.68909,2.54012,0.00115807,0.00115807,0.00115807
15,1556.44,1.95515,1.95571,1.91172,0.17141,0.54775,0.23103,0.0745,2.55232,2.58314,2.51299,0.001151,0.001151,0.001151
16,1659.49,1.92831,1.93432,1.87675,0.66055,0.32108,0.29548,0.09785,2.34195,2.17346,2.3582,0.00114393,0.00114393,0.00114393
17,1762.25,1.92485,1.96848,1.89994,0.6341,0.225,0.16561,0.04313,2.68444,2.56031,2.5407,0.00113686,0.00113686,0.00113686
18,1864.25,1.90999,1.93407,1.89444,0.66476,0.24755,0.26472,0.07095,2.41044,2.44134,2.36209,0.00112979,0.00112979,0.00112979
19,1966.95,1.95982,1.94824,1.871,0.26378,0.42949,0.24676,0.07617,2.248,2.47874,2.2787,0.00112271,0.00112271,0.00112271
20,2069.15,1.86746,1.88376,1.83659,0.44645,0.26324,0.27657,0.08467,2.13787,2.74756,2.26173,0.00111564,0.00111564,0.00111564
21,2171.28,1.86306,1.81328,1.84398,0.17776,0.5903,0.21816,0.06457,2.33053,2.5256,2.3256,0.00110857,0.00110857,0.00110857
22,2273.32,1.8383,1.85207,1.80431,0.20338,0.46894,0.26811,0.08361,2.39106,2.22326,2.35464,0.0011015,0.0011015,0.0011015
23,2375.54,1.83792,1.84235,1.80938,0.14066,0.43644,0.18147,0.05838,2.37839,2.5252,2.29392,0.00109443,0.00109443,0.00109443
24,2477.9,1.82064,1.79888,1.79864,0.45984,0.31694,0.29396,0.08747,2.22726,2.34389,2.20424,0.00108736,0.00108736,0.00108736
25,2579.9,1.79263,1.78342,1.78532,0.72956,0.34853,0.34578,0.10682,2.26471,2.11997,2.2157,0.00108029,0.00108029,0.00108029
26,2682.97,1.79692,1.7789,1.79452,0.49059,0.38916,0.31177,0.09918,2.31688,2.24898,2.22305,0.00107321,0.00107321,0.00107321
27,2785.26,1.80264,1.7628,1.77125,0.24858,0.51735,0.28058,0.08042,2.27328,2.63556,2.23972,0.00106614,0.00106614,0.00106614
28,2887.66,1.78434,1.7182,1.7652,0.2036,0.5897,0.34724,0.11261,2.15396,2.20127,2.18632,0.00105907,0.00105907,0.00105907
29,2992.77,1.7723,1.69717,1.7594,0.19195,0.4831,0.24652,0.08097,2.35948,2.28185,2.31366,0.001052,0.001052,0.001052
30,3095.24,1.74315,1.6908,1.73695,0.71719,0.36029,0.34759,0.11824,2.1634,2.1172,2.17356,0.00104493,0.00104493,0.00104493
31,3199.2,1.74199,1.6986,1.74478,0.23858,0.48283,0.22516,0.07146,2.46581,2.5636,2.37925,0.00103786,0.00103786,0.00103786
32,3301.25,1.70681,1.65646,1.68449,0.73269,0.34517,0.39569,0.12768,2.16332,2.15411,2.09913,0.00103079,0.00103079,0.00103079
33,3404.33,1.74733,1.66791,1.73341,0.72511,0.30148,0.41323,0.15627,2.091,2.02149,2.05529,0.00102371,0.00102371,0.00102371
34,3507.04,1.7105,1.63705,1.72521,0.21806,0.60672,0.31294,0.1086,2.12646,2.22479,2.14526,0.00101664,0.00101664,0.00101664
